"headword"	"pos"	"count"	"%"	"words"
"illic"	"ADV"	6	0.0	"illic"
"medius, media, medium"	"ADJ"	6	0.0	"medio; medium; medius"
"miles, militis"	"N"	6	0.0	"milites; militi; militum"
"miror, mirari, miratus sum"	"V"	6	0.0	"mirabantur; miramini; mirari; miremini; mireris"
"nox, noctis"	"N"	6	0.0	"nocte; nox"
"pareo, parere, parui, paritus"	"V"	6	0.0	"parentes"
"pastor, pastoris"	"N"	6	0.0	"pastor"
"pax, pacis"	"N"	6	0.0	"pacem; pax"
"pereo, perire, perivi(ii), peritus"	"V"	6	0.0	"pereat; peribunt; periit; perit"
"prior, prior, prius"	"ADJ"	6	0.0	"prius; prior; priorem"
"quinque, quintus -a -um, quini -ae -a, quinquie(n)s"	"NUM"	6	0.0	"quinque"
"sanguis, sanguinis"	"N"	6	0.0	"sanguinem; sanguis; sanguinibus"
"sitio, sitire, sitivi, -"	"V"	6	0.0	"sitiet; sitiam; sitio; sitit"
"sol, solis"	"N"	6	0.0	"solum; soli"
"solvo, solvere, solvi, solutus"	"V"	6	0.0	"solvite; solvam; solvatur; solvebat; solvi"
"soror, sororis"	"N"	6	0.0	"soror; sororem; sorores; sororis"
"surgo, surgere, surrexi, surrectus"	"V"	6	0.0	"surgit; surrexit; surge; surgite"
"suum, sui"	"N"	6	0.0	"sua"
"totus, tota, totum (gen -ius)"	"ADJ"	6	0.0	"tota; totum; totus"
"turbo, turbare, turbavi, turbatus"	"V"	6	0.0	"turbata; turbetur; turbatus; turbavit"
"vinum, vini"	"N"	6	0.0	"vinum; vino"
"vir, viri"	"N"	6	0.0	"virum; vir; viros"
"vivus, viva, vivum"	"ADJ"	6	0.0	"vivam; vivo; vivae; vivus"
"Andreas, Andreae"	"N"	5	0.0	"andreas; andreae"
"C., abb."	"N"	5	0.0	"c"
"Caiphas, Caiphae"	"N"	5	0.0	"caiphas; caipha; caiphae; caipham"
"Capharnaum, Capharnai"	"N"	5	0.0	"capharnaum"
"Hebraicus, Hebraica, Hebraicum"	"ADJ"	5	0.0	"hebraice"
"Iscariotes, Iscariotae"	"N"	5	0.0	"iscariotis; iscariotes"
"Maria, Mariae"	"N"	5	0.0	"mariam; mariae"
"Nicodemus"	"N"	5	0.0	"nicodemus"
